obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""482000000""","=""""","=""""",,"=""[13.054498464]""","=""13.054501086""","=""5s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
"=""656200000""","=""""","=""""",,"=""12.7485381084""","=""12.74853999753""","=""4d""","=""2D""","=""3/2""","=""4d""","=""2D""","=""5/2""",UT,
"=""656300000""","=""""","=""""",,"=""12.7485381084""","=""12.748539998""","=""4d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",,
"=""657900000""","=""""","=""""",,"=""12.74853811674""","=""12.74853999753""","=""4p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,
"=""737931000""","=""""","=""""",,"=""[13.22070146198]""","=""[13.22070314214]""","=""6p""","=""2P*""","=""1/2""","=""6p""","=""2P*""","=""3/2""",UT,
"=""952270000""","=""""","=""""",,"=""12.0874936591""","=""12.0874949611""","=""3p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",,
"=""1171806000""","=""""","=""""",,"=""[13.320916647]""","=""[13.320917704]""","=""7p""","=""2P*""","=""1/2""","=""7p""","=""2P*""","=""3/2""",UT,
"=""1281600000""","=""""","=""""",,"=""13.054501074""","=""[13.054502042]""","=""5d""","=""2D""","=""3/2""","=""5d""","=""2D""","=""5/2""",UT,
"=""1292000000""","=""""","=""""",,"=""13.054501086""","=""[13.054502042]""","=""5p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,
"=""1314900000""","=""""","=""""",,"=""12.74853999753""","=""12.7485409403""","=""4d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",,
"=""1749170000""","=""""","=""""",,"=""[13.38596007869]""","=""[13.38596078751]""","=""8p""","=""2P*""","=""1/2""","=""8p""","=""2P*""","=""3/2""",UT,
"=""2214300000""","=""""","=""""",,"=""[13.22070313941]""","=""13.22070369934""","=""6d""","=""2D""","=""3/2""","=""6d""","=""2D""","=""5/2""",UT,
"=""2251000000""","=""""","=""""",,"=""12.74853244632""","=""12.74853299663""","=""4p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",,
"=""2490510000""","=""""","=""""",,"=""[13.430553600]""","=""[13.430554098]""","=""9p""","=""2P*""","=""1/2""","=""9p""","=""2P*""","=""3/2""",UT,
"=""2560000000""","=""""","=""""",,"=""[13.054502042]""","=""13.054502526""","=""5d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",,
"=""3416340000""","=""""","=""""",,"=""[13.462451058]""","=""[13.462451421]""","=""10p""","=""2P*""","=""1/2""","=""10p""","=""2P*""","=""3/2""",UT,
"=""3515800000""","=""""","=""""",,"=""[13.320917703]""","=""[13.320918056]""","=""7d""","=""2D""","=""3/2""","=""7d""","=""2D""","=""5/2""",UT,
"=""4395700000""","=""""","=""""",,"=""13.054498182""","=""[13.054498464]""","=""5p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,
"=""4547150000""","=""""","=""""",,"=""[13.486051554]""","=""[13.486051827]""","=""11p""","=""2P*""","=""1/2""","=""11p""","=""2P*""","=""3/2""",UT,
"=""5903450000""","=""""","=""""",,"=""[13.504001658]""","=""[13.504001867]""","=""12p""","=""2P*""","=""1/2""","=""12p""","=""2P*""","=""3/2""",UT,
"=""7470300000""","=""""","=""""",,"=""[13.430554096]""","=""[13.430554262]""","=""9d""","=""2D""","=""3/2""","=""9d""","=""2D""","=""5/2""",UT,
"=""7591000000""","=""""","=""""",,"=""[13.22070146198]""","=""13.22070162532""","=""6p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,
"=""10247000000""","=""""","=""""",,"=""[13.46245141908]""","=""13.46245154007""","=""10d""","=""2D""","=""3/2""","=""10d""","=""2D""","=""5/2""",UT,
"=""12049000000""","=""""","=""""",,"=""[13.320916647]""","=""[13.320916750]""","=""7p""","=""2P*""","=""1/2""","=""7s""","=""2S""","=""1/2""",,
"=""13637000000""","=""""","=""""",,"=""[13.486051825]""","=""[13.486051916]""","=""11d""","=""2D""","=""3/2""","=""11d""","=""2D""","=""5/2""",UT,
"=""17980000000""","=""""","=""""",,"=""[13.38596007869]""","=""13.38596014765""","=""8p""","=""2P*""","=""1/2""","=""8s""","=""2S""","=""1/2""",,
"=""25590000000""","=""""","=""""",,"=""[13.430553600]""","=""[13.430553648]""","=""9p""","=""2P*""","=""1/2""","=""9s""","=""2S""","=""1/2""",,
"=""35100000000""","=""""","=""""",,"=""[13.462451058]""","=""[13.462451094]""","=""10p""","=""2P*""","=""1/2""","=""10s""","=""2S""","=""1/2""",,
"=""46710000000""","=""""","=""""",,"=""[13.486051554]""","=""[13.486051581]""","=""11p""","=""2P*""","=""1/2""","=""11s""","=""2S""","=""1/2""",,
"=""55000000000""","=""""","=""""",,"=""12.0875070783""","=""12.0875071004""","=""3d""","=""2D""","=""3/2""","=""3p""","=""2P*""","=""3/2""",,
"=""60640000000""","=""""","=""""",,"=""[13.504001658]""","=""[13.504001678]""","=""12p""","=""2P*""","=""1/2""","=""12s""","=""2S""","=""1/2""",,
